arrest_year,zip,F,I,M,V
2016,10001,6.0,0.0,3.0,0.0
2016,10009,0.0,0.0,1.0,0.0
2016,10010,0.0,0.0,1.0,0.0
2016,10013,1.0,0.0,3.0,0.0
2016,10014,14.0,0.0,43.0,0.0
2016,10016,0.0,0.0,2.0,0.0
2016,10020,3.0,0.0,32.0,1.0
2016,10021,10.0,2.0,19.0,0.0
2016,10022,0.0,0.0,4.0,0.0
2016,10023,1.0,0.0,37.0,0.0
2016,10024,3.0,1.0,65.0,1.0
2016,10025,4.0,0.0,44.0,0.0
2016,10027,0.0,0.0,1.0,0.0
2016,10028,0.0,0.0,55.0,0.0
2016,10029,0.0,1.0,8.0,0.0
2016,10031,10.0,0.0,30.0,0.0
2016,10032,8.0,0.0,24.0,0.0
2016,10034,7.0,0.0,34.0,0.0
2016,10036,0.0,0.0,4.0,0.0
2016,10044,2.0,0.0,5.0,0.0
2016,10065,6.0,1.0,10.0,0.0
2016,10069,0.0,0.0,4.0,0.0
2016,10128,2.0,0.0,6.0,0.0
2016,10301,26.0,0.0,65.0,0.0
2016,10302,41.0,0.0,95.0,0.0
2016,10303,56.0,1.0,161.0,0.0
2016,10304,41.0,0.0,141.0,0.0
2016,10305,75.0,2.0,198.0,0.0
2016,10306,100.0,0.0,222.0,0.0
2016,10307,20.0,0.0,39.0,0.0
2016,10308,26.0,0.0,53.0,0.0
2016,10309,56.0,2.0,241.0,0.0
2016,10310,40.0,1.0,86.0,1.0
2016,10312,51.0,0.0,213.0,0.0
2016,10314,147.0,3.0,573.0,0.0
2016,10454,1.0,1.0,7.0,0.0
2016,10455,0.0,0.0,1.0,0.0
2016,10458,9.0,0.0,35.0,0.0
2016,10460,4.0,0.0,9.0,0.0
2016,10461,68.0,0.0,132.0,0.0
2016,10462,64.0,0.0,156.0,1.0
2016,10463,1.0,0.0,18.0,0.0
2016,10464,3.0,0.0,12.0,0.0
2016,10465,45.0,0.0,161.0,0.0
2016,10466,126.0,0.0,276.0,1.0
2016,10467,59.0,0.0,130.0,1.0
2016,10468,5.0,0.0,5.0,0.0
2016,10469,40.0,0.0,136.0,0.0
2016,10470,68.0,0.0,203.0,0.0
2016,10471,19.0,0.0,77.0,0.0
2016,10472,1.0,0.0,4.0,0.0
2016,10473,19.0,1.0,73.0,0.0
2016,10474,6.0,0.0,17.0,0.0
2016,10475,14.0,0.0,36.0,5.0
2016,10550,0.0,0.0,6.0,0.0
2016,10704,2.0,0.0,1.0,0.0
2016,10705,1.0,0.0,2.0,0.0
2016,11001,2.0,0.0,9.0,0.0
2016,11003,3.0,0.0,1.0,0.0
2016,11004,17.0,0.0,42.0,3.0
2016,11040,7.0,0.0,4.0,2.0
2016,11101,0.0,0.0,1.0,0.0
2016,11102,6.0,1.0,34.0,2.0
2016,11103,34.0,3.0,125.0,7.0
2016,11104,2.0,1.0,2.0,0.0
2016,11105,37.0,3.0,48.0,9.0
2016,11106,4.0,0.0,16.0,1.0
2016,11203,198.0,11.0,340.0,21.0
2016,11204,47.0,2.0,54.0,3.0
2016,11205,3.0,0.0,4.0,2.0
2016,11206,0.0,0.0,2.0,3.0
2016,11207,28.0,0.0,36.0,7.0
2016,11208,37.0,0.0,129.0,2.0
2016,11209,56.0,6.0,188.0,21.0
2016,11210,94.0,4.0,101.0,5.0
2016,11211,4.0,0.0,13.0,0.0
2016,11212,2.0,0.0,5.0,1.0
2016,11213,62.0,10.0,180.0,17.0
2016,11214,49.0,1.0,153.0,7.0
2016,11215,5.0,1.0,40.0,3.0
2016,11216,27.0,3.0,31.0,5.0
2016,11218,25.0,1.0,60.0,7.0
2016,11219,16.0,0.0,62.0,9.0
2016,11220,94.0,3.0,154.0,13.0
2016,11221,5.0,0.0,11.0,1.0
2016,11222,20.0,0.0,12.0,1.0
2016,11223,31.0,1.0,76.0,6.0
2016,11224,11.0,1.0,42.0,2.0
2016,11225,21.0,3.0,66.0,6.0
2016,11226,235.0,4.0,433.0,53.0
2016,11228,27.0,2.0,95.0,20.0
2016,11229,43.0,1.0,89.0,5.0
2016,11230,48.0,1.0,127.0,9.0
2016,11231,3.0,0.0,16.0,1.0
2016,11232,7.0,2.0,21.0,2.0
2016,11233,4.0,0.0,11.0,4.0
2016,11234,90.0,3.0,238.0,10.0
2016,11235,39.0,2.0,67.0,6.0
2016,11236,109.0,11.0,236.0,18.0
2016,11237,11.0,1.0,92.0,8.0
2016,11238,0.0,0.0,0.0,1.0
2016,11239,17.0,1.0,36.0,0.0
2016,11351,1.0,0.0,3.0,0.0
2016,11354,62.0,0.0,99.0,3.0
2016,11355,67.0,0.0,99.0,0.0
2016,11356,28.0,0.0,35.0,0.0
2016,11357,30.0,2.0,57.0,0.0
2016,11358,83.0,3.0,79.0,2.0
2016,11360,7.0,0.0,22.0,0.0
2016,11361,19.0,2.0,83.0,2.0
2016,11362,10.0,0.0,29.0,1.0
2016,11363,3.0,0.0,5.0,0.0
2016,11364,16.0,1.0,61.0,2.0
2016,11365,17.0,1.0,40.0,1.0
2016,11366,13.0,1.0,26.0,0.0
2016,11367,23.0,2.0,76.0,3.0
2016,11368,89.0,2.0,206.0,23.0
2016,11369,19.0,1.0,66.0,0.0
2016,11370,23.0,1.0,34.0,0.0
2016,11372,12.0,0.0,49.0,4.0
2016,11373,15.0,0.0,43.0,1.0
2016,11374,8.0,0.0,46.0,1.0
2016,11375,5.0,1.0,33.0,0.0
2016,11377,29.0,0.0,68.0,3.0
2016,11378,23.0,1.0,35.0,1.0
2016,11379,12.0,0.0,37.0,1.0
2016,11385,55.0,2.0,135.0,10.0
2016,11411,51.0,4.0,67.0,2.0
2016,11412,82.0,0.0,174.0,7.0
2016,11413,48.0,0.0,120.0,8.0
2016,11414,49.0,0.0,44.0,1.0
2016,11415,8.0,0.0,10.0,0.0
2016,11416,20.0,3.0,80.0,1.0
2016,11417,27.0,0.0,48.0,10.0
2016,11418,6.0,1.0,46.0,8.0
2016,11419,103.0,4.0,187.0,11.0
2016,11420,60.0,1.0,159.0,9.0
2016,11421,69.0,0.0,139.0,17.0
2016,11422,42.0,0.0,81.0,10.0
2016,11423,14.0,0.0,41.0,0.0
2016,11425,0.0,0.0,1.0,0.0
2016,11426,25.0,0.0,70.0,7.0
2016,11427,18.0,1.0,58.0,6.0
2016,11428,12.0,1.0,27.0,0.0
2016,11429,59.0,0.0,72.0,7.0
2016,11430,5.0,0.0,7.0,0.0
2016,11432,10.0,1.0,40.0,0.0
2016,11433,49.0,7.0,224.0,6.0
2016,11434,249.0,18.0,575.0,23.0
2016,11435,58.0,0.0,106.0,2.0
2016,11436,14.0,0.0,15.0,0.0
2016,11559,0.0,1.0,0.0,0.0
2016,11691,75.0,3.0,110.0,5.0
2016,11692,45.0,1.0,76.0,0.0
2016,11693,13.0,0.0,37.0,23.0
2016,11694,21.0,0.0,34.0,1.0
2016,11697,3.0,0.0,5.0,0.0
