ARREST_YEAR,zip,LAW_CAT_CD,count
2023,10001,F,1
2023,10001,M,2
2023,10009,F,3
2023,10009,M,3
2023,10014,F,2
2023,10014,M,6
2023,10016,F,1
2023,10016,M,4
2023,10017,F,1
2023,10017,M,1
2023,10020,M,2
2023,10021,F,11
2023,10021,M,16
2023,10022,F,8
2023,10022,M,1
2023,10023,F,2
2023,10023,M,5
2023,10024,F,5
2023,10024,M,6
2023,10025,F,7
2023,10025,M,11
2023,10028,F,3
2023,10028,M,6
2023,10028,V,1
2023,10029,F,3
2023,10029,M,2
2023,10031,F,1
2023,10031,M,7
2023,10032,F,2
2023,10034,M,1
2023,10036,F,9
2023,10036,I,1
2023,10036,M,22
2023,10065,F,8
2023,10065,M,3
2023,10069,F,6
2023,10069,M,5
2023,10128,F,2
2023,10128,M,1
2023,10301,F,30
2023,10301,M,43
2023,10302,F,27
2023,10302,M,71
2023,10303,F,69
2023,10303,M,113
2023,10304,F,53
2023,10304,M,106
2023,10305,F,66
2023,10305,M,116
2023,10306,F,67
2023,10306,M,135
2023,10306,V,1
2023,10307,F,11
2023,10307,M,47
2023,10308,F,13
2023,10308,M,25
2023,10309,F,55
2023,10309,M,121
2023,10310,F,41
2023,10310,M,57
2023,10310,V,2
2023,10312,F,40
2023,10312,M,97
2023,10314,F,130
2023,10314,M,402
2023,10454,F,15
2023,10454,M,7
2023,10458,F,20
2023,10458,M,34
2023,10460,F,8
2023,10460,M,8
2023,10461,F,79
2023,10461,M,124
2023,10461,V,2
2023,10462,F,56
2023,10462,I,1
2023,10462,M,119
2023,10463,F,4
2023,10463,M,9
2023,10464,F,7
2023,10464,M,30
2023,10465,F,75
2023,10465,I,1
2023,10465,M,132
2023,10466,F,166
2023,10466,M,177
2023,10467,F,79
2023,10467,M,75
2023,10467,V,1
2023,10468,F,2
2023,10468,M,2
2023,10469,F,50
2023,10469,M,88
2023,10470,F,41
2023,10470,M,58
2023,10471,F,21
2023,10471,M,23
2023,10472,F,2
2023,10472,M,5
2023,10473,F,27
2023,10473,M,50
2023,10474,F,6
2023,10474,I,1
2023,10474,M,2
2023,10475,F,60
2023,10475,M,203
2023,10550,F,2
2023,10550,M,1
2023,11001,F,9
2023,11001,M,17
2023,11004,9,1
2023,11004,F,17
2023,11004,M,20
2023,11004,V,2
2023,11005,F,1
2023,11005,M,1
2023,11040,F,2
2023,11040,M,7
2023,11101,F,4
2023,11102,F,1
2023,11102,M,3
2023,11103,F,19
2023,11103,M,34
2023,11103,V,1
2023,11104,F,1
2023,11105,F,21
2023,11105,M,22
2023,11106,F,8
2023,11106,M,19
2023,11203,F,129
2023,11203,M,188
2023,11204,F,37
2023,11204,M,64
2023,11204,V,1
2023,11205,F,2
2023,11205,M,5
2023,11206,F,3
2023,11206,M,6
2023,11207,F,12
2023,11207,M,14
2023,11208,9,1
2023,11208,F,65
2023,11208,M,55
2023,11208,V,4
2023,11209,F,52
2023,11209,M,97
2023,11209,V,1
2023,11210,F,61
2023,11210,M,65
2023,11211,F,5
2023,11211,M,8
2023,11212,M,3
2023,11213,F,79
2023,11213,M,72
2023,11213,V,2
2023,11214,F,42
2023,11214,I,2
2023,11214,M,112
2023,11214,V,1
2023,11215,F,18
2023,11215,M,32
2023,11216,F,15
2023,11216,M,12
2023,11218,F,21
2023,11218,M,29
2023,11219,F,25
2023,11219,I,2
2023,11219,M,52
2023,11220,F,99
2023,11220,I,3
2023,11220,M,181
2023,11221,F,1
2023,11221,M,2
2023,11222,F,15
2023,11222,M,7
2023,11223,F,40
2023,11223,M,50
2023,11224,F,9
2023,11224,M,25
2023,11225,F,26
2023,11225,M,34
2023,11226,F,288
2023,11226,I,1
2023,11226,M,284
2023,11228,F,31
2023,11228,I,1
2023,11228,M,67
2023,11229,F,58
2023,11229,M,49
2023,11230,F,41
2023,11230,M,66
2023,11230,V,1
2023,11231,9,2
2023,11231,F,1
2023,11231,M,3
2023,11232,F,9
2023,11232,M,14
2023,11232,V,1
2023,11233,F,1
2023,11233,M,1
2023,11234,F,106
2023,11234,M,202
2023,11235,F,32
2023,11235,M,38
2023,11236,F,116
2023,11236,M,108
2023,11237,F,35
2023,11237,M,37
2023,11237,V,2
2023,11238,F,1
2023,11238,I,1
2023,11238,M,8
2023,11239,F,10
2023,11239,M,7
2023,11354,9,1
2023,11354,F,52
2023,11354,M,64
2023,11355,9,2
2023,11355,F,97
2023,11355,M,99
2023,11356,F,45
2023,11356,M,125
2023,11357,F,40
2023,11357,M,51
2023,11358,9,1
2023,11358,F,56
2023,11358,M,37
2023,11360,F,26
2023,11360,M,16
2023,11361,F,31
2023,11361,I,1
2023,11361,M,40
2023,11362,F,4
2023,11362,M,10
2023,11363,F,7
2023,11363,M,3
2023,11364,F,13
2023,11364,M,36
2023,11365,F,29
2023,11365,M,39
2023,11366,F,4
2023,11366,M,38
2023,11367,F,47
2023,11367,I,1
2023,11367,M,59
2023,11368,F,101
2023,11368,M,110
2023,11369,F,38
2023,11369,M,35
2023,11370,F,13
2023,11370,M,23
2023,11371,F,2
2023,11371,M,1
2023,11372,F,27
2023,11372,M,45
2023,11373,F,18
2023,11373,M,30
2023,11374,F,11
2023,11374,I,1
2023,11374,M,27
2023,11375,F,27
2023,11375,M,75
2023,11375,V,1
2023,11377,F,30
2023,11377,M,54
2023,11377,V,1
2023,11378,F,26
2023,11378,M,26
2023,11379,F,31
2023,11379,M,35
2023,11385,F,42
2023,11385,M,68
2023,11411,F,33
2023,11411,I,1
2023,11411,M,49
2023,11412,F,68
2023,11412,M,87
2023,11413,F,91
2023,11413,M,117
2023,11414,F,29
2023,11414,M,39
2023,11415,F,11
2023,11415,M,17
2023,11416,F,13
2023,11416,M,13
2023,11417,F,34
2023,11417,M,47
2023,11418,F,5
2023,11418,M,12
2023,11419,F,122
2023,11419,I,2
2023,11419,M,119
2023,11419,V,1
2023,11420,F,111
2023,11420,M,121
2023,11420,V,1
2023,11421,F,38
2023,11421,I,1
2023,11421,M,59
2023,11422,F,45
2023,11422,M,50
2023,11423,9,1
2023,11423,F,23
2023,11423,M,28
2023,11425,F,1
2023,11426,F,31
2023,11426,M,38
2023,11426,V,1
2023,11427,F,27
2023,11427,M,27
2023,11428,F,8
2023,11428,M,17
2023,11429,F,46
2023,11429,M,41
2023,11430,F,21
2023,11430,M,10
2023,11432,F,6
2023,11432,M,20
2023,11433,F,46
2023,11433,M,144
2023,11434,9,2
2023,11434,F,206
2023,11434,I,3
2023,11434,M,342
2023,11435,F,60
2023,11435,M,90
2023,11435,V,1
2023,11436,F,18
2023,11436,M,21
2023,11559,M,1
2023,11691,F,54
2023,11691,M,44
2023,11692,F,18
2023,11692,M,28
2023,11693,F,7
2023,11693,M,11
2023,11693,V,1
2023,11694,F,20
2023,11694,M,19
2023,11697,F,1
2023,11697,M,1
