year,zip,dog_bite_count,median_days_on_market,active_listing_count,median_listing_price,median_listing_price_per_square_foot
2016,10001,4,86.5,71.0,3575000.0,2104.0
2016,10002,18,62.0,107.0,1305000.0,1849.5
2016,10003,18,68.5,172.0,1713500.0,1736.5
2016,10005,1,104.0,90.0,1493125.0,1490.0
2016,10006,1,83.5,56.5,2661250.0,2350.0
2016,10009,10,72.0,73.5,1163125.0,1703.5
2016,10010,5,75.5,140.0,2112500.0,1862.0
2016,10011,16,85.5,293.0,2686245.0,2056.5
2016,10012,8,104.5,108.5,4638750.0,2351.5
2016,10013,10,105.5,214.5,4808750.0,2164.5
2016,10014,8,91.0,172.0,3790625.0,2605.5
2016,10016,24,77.5,238.0,1392000.0,1466.5
2016,10017,3,73.0,120.5,999000.0,1454.5
2016,10018,1,88.0,29.5,2614583.0,2302.0
2016,10019,13,107.0,327.5,2206250.0,1980.0
2016,10021,5,90.0,266.0,2045750.0,1628.0
2016,10022,7,99.5,425.0,1906250.0,1635.0
2016,10023,28,77.5,262.5,2360000.0,2069.0
2016,10024,23,74.5,177.5,2490625.0,1617.0
2016,10025,29,70.0,143.0,1405750.0,1400.0
2016,10026,8,63.0,37.5,1034750.0,1130.5
2016,10027,21,71.0,62.0,844000.0,930.0
2016,10028,18,94.0,164.5,2612500.0,1711.0
2016,10029,56,104.5,58.0,905375.0,1018.0
2016,10030,7,58.0,17.0,1272500.0,780.0
2016,10031,14,76.0,18.5,1725000.0,681.5
2016,10032,10,107.5,24.5,659750.0,645.5
2016,10033,13,98.0,34.5,646250.0,721.5
2016,10034,10,64.5,11.0,426750.0,519.5
2016,10035,17,92.5,21.5,1955625.0,784.0
2016,10036,8,98.5,112.5,1599125.0,1760.5
2016,10037,5,70.5,13.0,580000.0,878.5
2016,10038,7,53.5,48.5,1368750.0,1339.0
2016,10039,5,50.5,15.5,508750.0,829.5
2016,10040,3,63.5,18.0,554750.0,670.5
2016,10044,1,41.5,10.0,1072500.0,758.0
2016,10065,21,121.5,293.0,2648750.0,1880.5
2016,10069,5,89.0,63.5,2660000.0,1920.0
2016,10075,4,93.5,139.5,1795000.0,1526.5
2016,10128,25,75.0,216.0,2311250.0,1577.0
2016,10280,2,95.5,35.5,1150000.0,1314.5
2016,10301,19,79.0,67.0,674000.0,324.5
2016,10302,10,43.5,17.0,372750.0,287.0
2016,10303,27,57.5,33.5,305725.0,253.5
2016,10304,20,84.0,86.0,694750.0,342.5
2016,10305,17,66.0,46.5,537225.0,336.0
2016,10306,28,56.5,93.5,570250.0,360.0
2016,10307,7,78.0,28.5,751750.0,299.0
2016,10308,15,49.5,50.0,537175.0,324.5
2016,10309,27,56.5,54.5,709999.5,305.0
2016,10310,19,62.0,29.5,405037.0,294.5
2016,10312,26,66.5,103.0,589725.0,300.5
2016,10314,29,46.5,89.0,537250.0,316.5
2016,10451,10,56.0,16.5,239000.0,250.5
2016,10452,15,67.0,15.0,188000.0,208.5
2016,10453,19,74.0,4.5,250000.0,163.0
2016,10454,15,33.0,2.0,584500.0,283.0
2016,10455,8,65.0,6.5,228125.0,147.5
2016,10456,35,60.0,12.5,315000.0,204.0
2016,10457,29,46.5,13.0,287250.0,184.5
2016,10458,29,66.5,20.5,183750.0,176.5
2016,10459,16,61.0,13.5,272500.0,229.5
2016,10460,23,106.5,20.0,189750.0,158.5
2016,10461,27,66.0,32.0,299000.0,221.5
2016,10462,24,76.5,69.5,137995.0,186.5
2016,10463,18,81.0,189.0,299450.0,288.5
2016,10464,3,96.5,28.5,499000.0,380.0
2016,10465,27,70.5,102.5,440500.0,298.5
2016,10466,27,72.5,66.0,381000.0,262.0
2016,10467,27,79.5,53.5,142250.0,163.5
2016,10468,26,72.0,29.0,146200.0,184.0
2016,10469,14,57.5,60.5,387875.0,272.0
2016,10470,5,54.0,12.0,171875.0,199.0
2016,10471,4,112.5,193.5,305000.0,295.0
2016,10472,20,85.5,9.5,434750.0,253.5
2016,10473,23,56.5,39.0,340000.0,256.0
2016,10474,8,254.5,1.0,55000.0,69.0
2016,10475,5,98.0,6.5,392750.0,270.0
2016,10541,1,74.0,131.0,403750.0,183.0
2016,10549,2,80.0,109.0,700875.0,290.0
2016,10550,1,78.5,38.0,257125.0,148.0
2016,10566,1,73.5,103.0,227500.0,148.0
2016,10605,2,65.5,88.0,600250.0,283.0
2016,10607,2,71.5,40.0,539450.0,276.5
2016,10701,4,72.0,140.5,161087.5,157.0
2016,10704,3,64.5,80.0,149750.0,172.0
2016,10708,1,82.0,209.5,323750.0,293.5
2016,10990,1,95.0,153.5,394000.0,153.5
2016,11001,1,53.5,59.5,570000.0,359.5
2016,11003,1,67.5,91.0,415000.0,275.0
2016,11004,1,35.5,19.5,620250.0,453.5
2016,11040,3,60.5,88.0,686500.0,418.0
2016,11101,23,78.5,42.0,1335250.0,1221.5
2016,11102,13,68.0,16.0,798125.0,836.5
2016,11103,8,49.0,5.0,922500.0,815.5
2016,11104,3,49.5,11.0,455247.5,620.5
2016,11105,12,76.0,13.0,499000.0,671.0
2016,11106,9,44.0,10.5,857000.0,813.5
2016,11109,3,42.5,9.5,1236750.0,1499.0
2016,11201,16,81.5,195.5,1920875.0,1409.0
2016,11203,12,88.5,53.5,480750.0,326.0
2016,11204,12,59.0,27.0,823000.0,620.0
2016,11205,9,61.0,32.0,827000.0,853.0
2016,11206,25,63.0,20.5,883692.5,772.0
2016,11207,25,67.0,61.5,427750.0,363.5
2016,11208,42,68.0,33.0,515499.5,353.5
2016,11209,21,64.0,101.0,611250.0,531.0
2016,11210,8,62.0,69.5,467750.0,429.5
2016,11211,16,68.0,79.0,1195000.0,1157.0
2016,11212,15,96.5,17.0,454250.0,280.0
2016,11213,14,52.5,17.0,763750.0,502.5
2016,11214,17,56.5,49.0,591750.0,445.5
2016,11215,26,57.5,110.5,1321000.0,1038.5
2016,11216,11,58.0,49.0,1095000.0,781.5
2016,11217,10,58.5,67.0,1638534.5,1225.0
2016,11218,13,61.0,52.0,519987.5,595.5
2016,11219,4,81.0,11.5,780250.0,656.0
2016,11220,31,74.5,36.5,608500.0,622.0
2016,11221,28,59.5,41.5,1283500.0,534.5
2016,11222,13,75.5,76.5,1297000.0,1088.0
2016,11223,15,74.5,51.0,726500.0,504.0
2016,11224,7,80.5,44.5,553125.0,400.0
2016,11225,12,67.0,29.0,1112250.0,712.5
2016,11226,18,61.5,43.0,503625.0,475.0
2016,11228,9,80.5,39.5,942860.0,614.5
2016,11229,19,65.5,132.5,497875.0,417.5
2016,11230,10,62.5,57.5,379500.0,419.0
2016,11231,14,88.5,50.5,1562500.0,1048.5
2016,11232,9,50.0,24.0,661625.0,736.0
2016,11233,20,54.5,39.5,919000.0,554.0
2016,11234,29,93.0,219.0,635500.0,427.0
2016,11235,19,77.5,226.0,610250.0,522.5
2016,11236,14,89.0,92.5,359000.0,332.5
2016,11237,20,37.0,12.5,876875.0,804.5
2016,11238,14,62.0,98.5,1068750.0,987.5
2016,11239,4,136.5,1.0,330000.0,324.0
2016,11354,7,51.0,113.5,626750.0,697.0
2016,11355,17,56.5,91.0,444111.0,503.0
2016,11356,12,58.5,29.5,670125.0,501.5
2016,11357,5,71.0,145.0,832250.0,475.5
2016,11358,12,53.5,46.0,889875.0,547.0
2016,11360,3,72.5,86.0,494375.0,490.0
2016,11361,12,55.0,44.5,896472.0,579.0
2016,11362,6,57.5,74.5,828750.0,458.0
2016,11363,3,68.0,25.5,1136625.0,515.5
2016,11364,8,45.5,75.0,502250.0,503.5
2016,11365,13,53.0,45.5,871250.0,573.5
2016,11366,3,69.0,16.0,897111.0,635.5
2016,11367,10,59.0,71.5,288250.0,310.0
2016,11368,36,80.5,62.0,452250.0,504.5
2016,11369,16,75.5,37.5,620762.5,369.5
2016,11370,6,38.5,9.5,437612.5,539.5
2016,11372,20,53.0,90.5,386875.0,476.5
2016,11373,25,60.0,57.0,443125.0,498.0
2016,11374,11,65.0,96.0,367000.0,409.5
2016,11375,12,55.5,198.5,379000.0,427.0
2016,11377,26,66.5,51.0,379000.0,493.5
2016,11378,13,53.0,18.0,731749.5,437.5
