,ADULT SERVICES,CAMPS,CHILD SERVICES AND WELFARE,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CULTURAL INSTITUTIONS,DAY CARE AND PRE-KINDERGARTEN,EMERGENCY SERVICES,HEALTH CARE,HIGHER EDUCATION,HISTORICAL SITES,HUMAN SERVICES,JUSTICE AND CORRECTIONS,LIBRARIES,MATERIAL SUPPLIES AND MARKETS,"OFFICES, TRAINING, AND TESTING",OTHER PROPERTY,PARKS AND PLAZAS,PUBLIC SAFETY,SCHOOLS (K-12),SOLID WASTE,TELECOMMUNICATIONS,TRANSPORTATION,VOCATIONAL AND PROPRIETARY SCHOOLS,WATER AND WASTEWATER,YOUTH SERVICES,zip,revised_market_value,Cluster
0,0.0,2.0,11.0,1.0,80.0,16.0,1.0,36.0,5.0,15.0,37.0,0.0,2.0,0.0,6.0,0.0,17.0,0.0,8.0,11.0,1.0,57.0,52.0,0.0,38.0,10001.0,4866891.647969052,2
1,8.0,2.0,29.0,9.0,58.0,52.0,3.0,55.0,0.0,18.0,49.0,0.0,3.0,1.0,2.0,1.0,32.0,2.0,36.0,20.0,0.0,26.0,2.0,0.0,137.0,10002.0,13677828.509433962,0
2,0.0,6.0,11.0,2.0,109.0,18.0,3.0,30.0,5.0,43.0,14.0,0.0,1.0,0.0,3.0,0.0,21.0,2.0,26.0,18.0,0.0,60.0,6.0,0.0,23.0,10003.0,9624303.958333334,2
3,0.0,1.0,4.0,0.0,21.0,6.0,0.0,24.0,5.0,24.0,11.0,1.0,1.0,0.0,13.0,0.0,24.0,0.0,11.0,5.0,0.0,17.0,5.0,0.0,35.0,10004.0,12187725.782608695,2
4,0.0,1.0,1.0,0.0,7.0,4.0,1.0,9.0,0.0,13.0,9.0,0.0,0.0,0.0,6.0,0.0,17.0,0.0,4.0,2.0,0.0,6.0,2.0,0.0,17.0,10005.0,1260645.2926829269,3
5,0.0,0.0,0.0,1.0,4.0,1.0,1.0,8.0,1.0,8.0,8.0,0.0,0.0,0.0,5.0,0.0,9.0,0.0,5.0,0.0,0.0,4.0,3.0,0.0,13.0,10006.0,3057819.7073170734,3
6,1.0,0.0,0.0,6.0,16.0,12.0,1.0,6.0,2.0,24.0,9.0,7.0,3.0,0.0,70.0,0.0,9.0,0.0,6.0,1.0,0.0,15.0,7.0,0.0,6.0,10007.0,1449059.879120879,2
7,0.0,1.0,21.0,2.0,37.0,24.0,1.0,13.0,0.0,5.0,22.0,0.0,1.0,0.0,1.0,0.0,43.0,1.0,15.0,21.0,0.0,7.0,1.0,1.0,56.0,10009.0,790029.0,1
8,0.0,2.0,7.0,1.0,20.0,12.0,0.0,25.0,3.0,16.0,3.0,1.0,2.0,0.0,2.0,0.0,13.0,0.0,12.0,13.0,0.0,34.0,8.0,0.0,20.0,10010.0,2389469.3419689117,2
9,0.0,2.0,7.0,0.0,80.0,22.0,2.0,34.0,7.0,16.0,21.0,0.0,4.0,0.0,0.0,0.0,10.0,1.0,22.0,23.0,0.0,61.0,10.0,0.0,28.0,10011.0,1707689.473474801,2
10,0.0,1.0,1.0,1.0,41.0,7.0,2.0,12.0,4.0,19.0,1.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,1.0,9.0,0.0,15.0,1.0,0.0,13.0,10012.0,2785900.484375,2
11,2.0,4.0,8.0,6.0,85.0,24.0,2.0,16.0,2.0,18.0,25.0,7.0,0.0,0.0,31.0,0.0,17.0,3.0,7.0,11.0,0.0,39.0,8.0,1.0,38.0,10013.0,1058674.7702702703,2
12,0.0,3.0,5.0,1.0,47.0,12.0,2.0,12.0,0.0,15.0,4.0,1.0,2.0,0.0,0.0,0.0,20.0,1.0,11.0,17.0,0.0,30.0,1.0,0.0,11.0,10014.0,2864395.4615384615,2
13,0.0,2.0,4.0,1.0,32.0,16.0,3.0,52.0,4.0,23.0,4.0,1.0,3.0,0.0,2.0,0.0,41.0,0.0,12.0,9.0,0.0,98.0,13.0,0.0,7.0,10016.0,5469697.488203267,2
14,0.0,2.0,2.0,0.0,20.0,14.0,0.0,13.0,3.0,11.0,6.0,0.0,4.0,0.0,4.0,0.0,41.0,0.0,4.0,7.0,0.0,48.0,15.0,0.0,8.0,10017.0,26233343.993055556,2
15,0.0,0.0,3.0,1.0,73.0,3.0,2.0,48.0,2.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,10.0,0.0,33.0,37.0,1.0,18.0,10018.0,2702798.2735042735,2
16,0.0,1.0,8.0,4.0,53.0,18.0,1.0,17.0,2.0,16.0,11.0,2.0,2.0,0.0,3.0,0.0,44.0,2.0,22.0,12.0,1.0,114.0,10.0,0.0,26.0,10019.0,5799146.102685624,2
